offense_description,district,shooting,month,weekend,hour,day
LARCENY ALL OTHERS,D4,0,1,1,0,1
HARASSMENT/ CRIMINAL HARASSMENT,A7,0,1,1,0,1
PROPERTY - LOST/ MISSING,D14,0,1,1,0,1
PROPERTY - LOST/ MISSING,B3,0,1,1,0,1
PROPERTY - LOST/ MISSING,B3,0,1,1,0,1
INVESTIGATE PERSON,A1,0,1,1,0,1
HARASSMENT/ CRIMINAL HARASSMENT,D4,0,1,1,0,1
INVESTIGATE PROPERTY,B3,0,1,1,0,1
FRAUD - WIRE,C6,0,1,1,0,1
ASSAULT - AGGRAVATED,D4,0,1,1,0,1
THREATS TO DO BODILY HARM,A1,0,1,1,0,1
PROPERTY - LOST/ MISSING,A1,0,1,1,0,1
PROPERTY - LOST/ MISSING,A15,0,1,1,0,1
PROPERTY - LOST/ MISSING,A1,0,1,1,0,1
VANDALISM,E5,0,1,1,0,1
INVESTIGATE PROPERTY,A1,0,1,1,0,1
ASSAULT - AGGRAVATED,A1,0,1,1,0,1
ASSAULT - AGGRAVATED,A1,0,1,1,0,1
M/V ACCIDENT - PROPERTY DAMAGE,D4,0,1,1,0,1
INVESTIGATE PERSON,E18,0,1,1,0,1
AUTO THEFT,B2,0,1,1,1,1
LARCENY THEFT FROM MV - NON-ACCESSORY,D4,0,1,1,1,1
THREATS TO DO BODILY HARM,B2,0,1,1,1,1
PROPERTY - FOUND,A1,0,1,1,1,1
INVESTIGATE PROPERTY,B2,0,1,1,1,1
BALLISTICS EVIDENCE/FOUND,C11,1,1,1,1,1
ASSAULT - SIMPLE,D14,0,1,1,1,1
ASSAULT - SIMPLE,D4,0,1,1,1,1
BALLISTICS EVIDENCE/FOUND,B2,1,1,1,1,1
M/V ACCIDENT - PROPERTY DAMAGE,D14,0,1,1,1,1
ASSAULT - SIMPLE,C6,0,1,1,1,1
TRESPASSING,D4,0,1,1,1,1
INVESTIGATE PERSON,C6,0,1,1,1,1
SICK ASSIST,C6,0,1,1,1,1
OPERATING UNDER THE INFLUENCE (OUI) ALCOHOL,B3,0,1,1,1,1
PROPERTY - FOUND,A1,0,1,1,2,1
TRESPASSING,A1,0,1,1,2,1
VANDALISM,D4,0,1,1,2,1
INVESTIGATE PERSON,B3,0,1,1,2,1
ASSAULT - SIMPLE,A1,0,1,1,2,1
M/V - LEAVING SCENE - PERSONAL INJURY,B2,0,1,1,2,1
TOWED MOTOR VEHICLE,A1,0,1,1,2,1
SICK ASSIST,A1,0,1,1,2,1
M/V ACCIDENT - OTHER,B2,0,1,1,2,1
SICK/INJURED/MEDICAL - PERSON,A1,0,1,1,2,1
