district,victim_plural,month,day,hour,fatal,female,male,asian,black or african american,unknownrace,white,hispanic or latinx,not hispanic or latinx,unknowneth
B2,0,1,1,4,0,0,1,0,0,1,0,1,0,0
B2,0,1,2,18,0,0,1,0,1,0,0,0,1,0
C11,1,1,2,18,1,1,0,0,1,0,0,0,0,0
C11,1,1,2,18,0,0,1,0,1,0,0,0,0,0
C11,1,1,2,18,0,0,1,0,1,0,0,0,1,0
B2,1,1,10,20,0,0,1,0,1,0,0,1,0,0
B2,0,1,10,20,0,0,1,0,1,0,0,0,1,0
B2,1,1,10,20,0,0,1,0,0,1,0,0,0,1
B2,0,1,11,22,0,0,1,0,1,0,0,0,0,1
C6,0,1,18,18,0,0,1,0,0,0,1,0,0,0
A7,0,1,24,20,0,0,1,0,1,0,0,0,1,0
C6,0,2,15,1,0,0,1,0,0,0,1,1,0,0
B3,1,2,19,23,0,1,0,0,1,0,0,0,1,0
B3,1,2,19,23,0,0,1,0,1,0,0,0,1,0
C11,0,2,26,22,0,0,1,0,0,0,1,0,1,0
B3,0,3,7,0,0,0,1,0,1,0,0,0,1,0
D14,0,3,7,16,0,0,1,0,1,0,0,0,0,0
A7,0,3,8,16,0,0,1,0,0,1,0,1,0,0
C11,0,3,9,22,0,0,1,0,1,0,0,1,0,0
B3,1,3,15,17,0,0,1,0,1,0,0,0,0,1
B3,1,3,15,17,0,0,1,0,1,0,0,0,1,0
C11,0,3,19,0,0,0,1,0,0,0,1,1,0,0
B3,0,3,21,2,0,1,0,0,0,0,1,1,0,0
A7,1,3,23,2,0,0,1,0,1,0,0,0,1,0
A7,1,3,23,2,0,0,1,0,0,0,1,0,1,0
A15,0,3,26,0,0,0,1,0,0,0,1,1,0,0
E18,0,3,28,2,0,1,0,0,0,0,1,1,0,0
B2,0,3,30,23,0,0,1,0,1,0,0,0,1,0
C11,0,3,31,22,0,0,1,0,1,0,0,0,1,0
B2,0,3,31,22,0,1,0,0,1,0,0,0,0,1
A15,0,4,10,12,0,0,1,0,0,0,1,0,1,0
C11,0,4,9,3,0,0,1,0,1,0,0,1,0,0
E5,1,4,8,21,1,0,1,0,1,0,0,0,1,0
E5,1,4,8,21,0,0,1,0,1,0,0,1,0,0
C6,1,4,12,0,0,0,1,0,1,0,0,0,1,0
C6,1,4,12,0,0,0,1,0,1,0,0,0,1,0
B2,0,4,11,17,1,0,1,0,1,0,0,0,1,0
E13,1,4,12,22,1,0,1,0,0,0,1,1,0,0
E13,1,4,12,22,0,0,1,0,0,1,0,0,0,1
A1,1,4,17,2,0,0,1,0,0,0,1,0,1,0
A1,1,4,17,2,0,0,1,1,0,0,0,0,1,0
E13,0,4,15,12,0,0,1,0,1,0,0,0,0,1
B2,0,4,22,0,0,1,0,0,1,0,0,0,1,0
B3,0,4,23,5,0,0,1,0,1,0,0,0,1,0
B2,0,4,27,11,1,0,1,0,1,0,0,0,0,1
B3,0,4,29,23,0,0,1,0,1,0,0,0,1,0
D4,0,5,8,15,0,0,1,0,1,0,0,0,1,0
B2,0,5,11,18,0,0,1,0,0,0,1,1,0,0
B2,0,5,14,21,0,0,1,0,0,1,0,0,0,1
B3,0,5,14,18,0,0,1,0,1,0,0,0,1,0
B3,1,5,18,20,0,0,1,0,0,0,1,1,0,0
B3,1,5,18,20,0,0,1,0,1,0,0,0,1,0
E13,1,5,21,3,0,0,1,0,0,0,1,1,0,0
E13,1,5,21,3,0,0,1,0,0,0,0,0,0,0
B2,0,5,21,17,0,0,1,0,1,0,0,1,0,0
E13,0,5,24,23,0,0,1,0,0,0,1,1,0,0
A1,0,5,26,15,0,0,0,0,0,0,0,0,0,0
C11,0,5,29,21,0,0,1,0,1,0,0,0,1,0
B3,0,5,29,0,0,0,1,0,1,0,0,0,1,0
C11,0,6,2,23,1,0,1,0,1,0,0,0,1,0
B3,1,6,3,0,0,1,0,0,1,0,0,0,1,0
B3,1,6,3,0,0,1,0,0,1,0,0,0,1,0
B2,0,6,12,21,1,0,1,0,1,0,0,0,1,0
C11,0,6,10,22,0,0,1,0,1,0,0,0,0,1
E13,0,6,13,1,0,0,1,0,0,0,1,1,0,0
B3,0,6,21,18,0,0,1,0,1,0,0,0,1,0
B2,0,6,22,22,0,0,1,0,0,0,1,1,0,0
E18,0,7,2,3,0,1,0,0,1,0,0,0,1,0
B3,0,7,1,13,0,0,1,0,1,0,0,0,1,0
B3,0,7,3,22,0,0,1,0,0,1,0,1,0,0
